MIGPUMA,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
1301400,83511,19856,46027,17628,22637,32685,28189,98,55,211,2123,5602,2640,10818,2524,1216,8338,1188,2907,2321,5168,7272,16546,578,8557,1874,3475,8715,19273,21065,14602
1301500,47621,12545,25714,9362,14472,18093,15056,344,18,222,1260,6510,686,6535,734,259,954,341,3764,101,2032,5060,8176,475,7301,1105,1744,5145,10811,11710,7410
1301600,50108,11310,27247,11551,14258,20072,15778,1200,1198,590,2669,5801,752,6508,1678,317,1000,278,811,23,2918,7346,6472,330,4450,954,4813,5876,12581,12499,7842
1301700,89661,21339,49003,19319,22818,35708,31135,67,52,167,3323,6536,2514,9510,1097,1080,10975,1619,4743,1694,6285,7099,14514,878,10550,2630,4328,9300,20062,22581,16379
1301800,38878,7870,21025,9983,10585,17320,10973,1739,218,211,1269,6713,1557,3989,1881,218,725,272,733,201,1672,5174,4546,274,3178,676,3632,4913,10548,9605,5942
1301900,41828,8976,23065,9787,11952,17439,12437,142,11,220,1523,5192,1215,5491,1193,261,983,278,762,162,3046,5722,7556,205,3442,1046,3378,4613,10780,10731,6728
1302100,37186,9280,20573,7333,9778,13955,13453,61,2,337,1636,5608,1588,5775,956,682,709,371,1047,42,2260,3442,5196,541,4318,916,1699,3777,8623,8884,6622
1302200,46208,11062,25600,9546,10391,18633,17184,220,8,389,2157,13796,1256,3773,2616,781,1090,201,674,228,5795,3803,4060,247,2389,761,1964,5233,11723,11246,6944
1302300,40720,11071,22114,7535,10023,14981,15716,178,47,133,2711,7029,1252,4701,626,680,634,297,774,1249,2576,4926,5900,225,4311,859,1612,4078,9264,9570,6737
1302400,45083,11324,24043,9716,13173,15657,16253,34,15,34,3631,3582,2885,7012,975,572,946,642,2339,177,1529,4172,6255,798,6047,1875,1563,4283,9427,10855,9194
1302500,54484,12885,29850,11749,13158,21831,19495,172,18,245,1678,11393,1960,7030,1369,836,974,430,1065,30,2492,4770,9896,342,5377,1431,2976,5781,12969,13576,9273
1302600,36325,8952,19218,8155,9948,16082,10295,121,0,51,1303,8931,1069,5062,739,256,1120,265,752,11,752,4370,3784,585,3748,1224,2182,3745,9214,8741,5673
1302700,56767,12173,32215,12379,9930,25685,21152,177,34,188,1289,22021,3513,4749,2971,151,625,363,2895,525,2182,3146,5610,268,3194,904,1962,9054,14016,13365,8159
1302800,53523,12109,29496,11918,14073,23077,16373,406,314,181,1897,14013,2705,6259,1139,395,1036,466,1106,133,4272,4487,5688,199,5166,1037,2624,6859,13458,12766,8331
1302900,36734,8755,20520,7459,8431,14008,14295,83,173,505,2099,8711,1856,4374,2695,333,755,350,1175,71,2289,2028,2520,576,3752,812,1577,4099,9134,8857,5889
1303000,376631,89582,211116,75933,85376,116948,174307,66,106,1147,28210,19451,30388,46574,12460,9659,16377,6413,35698,13522,34390,24207,38399,4982,35932,9996,8654,36029,75503,89905,85612
