,GISMATCH,GISJOIN,GEOID,STATEFIP,State,PUMA,Name,center,type,CBSA_name
398,501000,G05001000,0501000,05,Arkansas,01000,Pulaski County (Central)--Little Rock City PUMA,POINT (330963.5792232578 -304706.0376402279),Metro,"Little Rock-North Little Rock-Conway, AR Metro Area"
399,501200,G05001200,0501200,05,Arkansas,01200,Saline County PUMA,POINT (302179.0015041857 -314230.8920793044),Metro,"Little Rock-North Little Rock-Conway, AR Metro Area"
400,602500,G06002500,0602500,06,California,02500,Imperial County--El Centro City PUMA,POINT (-1785119.915078586 -316532.6812591636),Metro,"El Centro, CA Metro Area"
401,2200500,G22000500,2200500,22,Louisiana,00500,North Delta Regional Planning & Development District 2--Northeast Louisiana PUMA,POINT (392605.6258789093 -555170.8880840921),,
402,2200300,G22000300,2200300,22,Louisiana,00300,Coordinating & Development Corporation 4--Northwest Louisiana PUMA,POINT (259056.1516003534 -601599.3686298878),,
403,2200100,G22000100,2200100,22,Louisiana,00100,Coordinating & Development Corporation 1--Shreveport City (North) PUMA,POINT (194864.570555302 -533250.2016560205),Metro,"Shreveport-Bossier City, LA Metro Area"
404,2200200,G22000200,2200200,22,Louisiana,00200,Coordinating & Development Corporation 3--Bossier & Webster Parishes PUMA,POINT (233713.5717650491 -534660.9112108789),Metro,"Shreveport-Bossier City, LA Metro Area"
405,2200101,G22000101,2200101,22,Louisiana,00101,Coordinating & Development Corporation 2--Shreveport City (South) PUMA,POINT (202757.5144351725 -574660.1562525326),Metro,"Shreveport-Bossier City, LA Metro Area"
406,2200800,G22000800,2200800,22,Louisiana,00800,Imperial Calcasieu Regional Planning & Development District 1 (North) PUMA,POINT (265082.8951727381 -773524.1231583095),Micro,"DeRidder, LA Micro Area"
407,2201600,G22001600,2201600,22,Louisiana,01600,Capital Region Planning Commission 5--Ascension Parish PUMA,POINT (489017.9804198346 -801722.0532917705),Metro,"Baton Rouge, LA Metro Area"
408,2202000,G22002000,2202000,22,Louisiana,02000,South Central Planning & Development Commission 2--Lafourche & Assumption Parishes PUMA,POINT (523651.5661416481 -861152.8949190568),Metro,"Houma-Thibodaux, LA Metro Area"
409,2201400,G22001400,2201400,22,Louisiana,01400,Capital Region Planning Commission 1--Baton Rouge Metropolitan Area (West) PUMA,POINT (443362.9618666482 -757811.7502898704),Metro,"Baton Rouge, LA Metro Area"
410,2201900,G22001900,2201900,22,Louisiana,01900,South Central Planning & Development Commission 1--River Parishes PUMA,POINT (525749.2040787556 -823207.6978311491),Metro,"New Orleans-Metairie, LA Metro Area"
411,2200600,G22000600,2200600,22,Louisiana,00600,Kisatchie Delta Regional Planning & Development District 1 PUMA,POINT (363738.3953617158 -655484.1898779417),,
412,2202500,G22002500,2202500,22,Louisiana,02500,"Regional Planning Commission 9--St. Bernard, Jefferson (South) & Plaquemines Parishes PUMA",POINT (611369.305113458 -861934.2966655281),Metro,"New Orleans-Metairie, LA Metro Area"
413,2202200,G22002200,2202200,22,Louisiana,02200,Regional Planning Commission 1--St. Tammany Parish (Northwest) PUMA,POINT (572617.351037103 -760361.099705689),Metro,"New Orleans-Metairie, LA Metro Area"
414,2202201,G22002201,2202201,22,Louisiana,02201,Regional Planning Commission 2--St. Tammany Parish (Southeast) PUMA,POINT (593212.0759887731 -783273.4946085962),Metro,"New Orleans-Metairie, LA Metro Area"
415,2202400,G22002400,2202400,22,Louisiana,02400,Regional Planning Commission 6--New Orleans City (Northeast) PUMA,POINT (589553.14347389 -811949.4577208323),Metro,"New Orleans-Metairie, LA Metro Area"
416,2200700,G22000700,2200700,22,Louisiana,00700,Kisatchie Delta Regional Planning & Development District 2--Rapides & Vernon Parishes PUMA,POINT (298685.2518058884 -704222.6331114777),Micro,"Fort Polk South, LA Micro Area"
417,2201300,G22001300,2201300,22,Louisiana,01300,"Acadiana Regional Development District 5--Iberia, St. Mary & St. Martin Parishes PUMA",POINT (424898.0347851851 -835418.5231197061),Micro,"Morgan City, LA Micro Area"
418,2202402,G22002402,2202402,22,Louisiana,02402,Regional Planning Commission 8--New Orleans City (South) PUMA,POINT (576495.3875633964 -827742.9577589683),Metro,"New Orleans-Metairie, LA Metro Area"
419,2202401,G22002401,2202401,22,Louisiana,02401,Regional Planning Commission 7--New Orleans City (Central) PUMA,POINT (570439.2098083179 -823129.6842895151),Metro,"New Orleans-Metairie, LA Metro Area"
420,2201700,G22001700,2201700,22,Louisiana,01700,Capital Region Planning Commission 6--Livingston & St. Helena Parishes PUMA,POINT (505208.896123828 -759067.0188299678),Metro,"Baton Rouge, LA Metro Area"
421,2201800,G22001800,2201800,22,Louisiana,01800,Capital Region Planning Commission 7--Tangipahoa & Washington Parishes PUMA,POINT (549635.374124205 -738605.8831928059),Micro,"Bogalusa, LA Micro Area"
422,2202300,G22002300,2202300,22,Louisiana,02300,Regional Planning Commission 3--Jefferson Parish (North) PUMA,POINT (556474.7360683624 -822279.5022496807),Metro,"New Orleans-Metairie, LA Metro Area"
423,2201100,G22001100,2201100,22,Louisiana,01100,Acadiana Regional Development District 2--Acadia & Vermilion Parishes PUMA,POINT (351420.3672815739 -831233.1675267424),Metro,"Lafayette, LA Metro Area"
