MIGPUMA,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
3602900,141981,34910,71648,35423,36033,46844,59104,1152,84,664,6472,8913,8011,20987,7661,2626,2678,1358,5675,928,8843,15668,25103,1814,10302,6322,6720,14067,28790,33030,31184
3603000,124124,28056,63210,32858,32177,39414,52533,42,138,1237,7408,7367,4922,13171,3278,2026,2422,2222,6980,872,8160,13288,29376,1584,8878,5949,4804,13389,20705,27369,34605
3603100,443463,87317,235386,120760,87072,120537,235854,385,27,2731,31911,13970,14977,51170,12880,8637,16231,10445,28696,8888,24900,54168,72295,10830,31318,23108,25896,46011,76157,99261,134717
3603200,651745,142166,333041,176538,142143,189038,320564,185,14,4707,33284,16927,26023,81345,16501,10813,27826,10598,41439,7714,32652,73762,150972,12466,48838,31990,23689,65803,106710,145112,191954
3603300,659938,143763,337139,179036,140800,195399,323739,2588,194,1396,47583,54023,40409,77656,20812,9735,20271,7645,40731,8718,44348,77241,93617,9737,50098,26440,26696,65750,120491,152373,177561
3603700,328480,65652,185701,77127,55489,107773,165218,11,13,2284,11779,5694,12658,33882,8785,2047,4537,11510,5609,1261,9511,52401,111057,4211,17177,9722,24331,48540,58660,76330,79298
3603800,2508049,614403,1418498,475148,371268,498420,1638361,202,16,6699,44481,22579,82923,158595,20073,206571,293133,89136,365806,68538,189584,168423,268873,74821,235459,108188,103949,230102,347821,488877,826846
3603900,114422,27409,59977,27036,27050,35295,52077,3,0,1241,10425,1379,1677,14606,5436,1263,1775,1253,3965,634,4262,12886,31004,1514,8848,5121,7130,10924,19529,25763,30797
3604000,833557,172592,463014,197951,182143,283623,367791,146,10,4687,33917,20615,25155,78921,76469,11618,16509,20390,24753,2722,33465,94856,245123,9773,53557,30231,50640,112481,150636,187885,209963
3604100,715381,144199,396751,174431,139609,245921,329851,30,8,2986,55938,19701,23156,67989,73284,10630,12936,16796,18982,3062,38315,63976,156544,7134,51985,27021,64908,97865,127772,161917,183628
