puma,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
3701802,90177,19525,48879,21773,21830,31063,37284,42,0,58,2394,4056,2164,11546,1011,962,3801,1087,6477,2646,7365,6285,19687,1425,10423,2290,6458,8726,19661,23422,18843
3701803,39256,9366,20529,9361,9824,14365,15067,26,29,111,2998,6438,2595,6381,2403,188,967,288,1184,563,2953,2540,3234,732,4156,1155,315,4389,9379,9637,6485
3701900,27678,6191,14491,6996,6323,12541,8814,393,37,156,1739,7156,1048,2749,3550,226,360,92,629,100,1673,1968,1943,413,1943,516,987,3203,7288,6828,4168
3702000,36995,7426,19694,9875,8089,16906,12000,181,27,126,1138,11391,2093,3649,848,277,556,156,578,364,1648,3343,3812,213,2609,842,3144,4125,10198,9565,5681
3702100,44791,10179,23498,11114,10506,20367,13918,225,98,58,1329,15558,1129,4680,290,191,519,226,632,86,2374,3490,6833,237,3894,1006,1936,4576,11555,11560,6921
3702201,97601,22877,52733,21991,22992,38611,35998,69,14,143,3932,6384,2409,11954,1705,1399,2105,1408,4499,387,6301,5797,23323,2296,14200,3431,5845,8790,21287,24256,20391
3702202,33871,7979,17663,8229,8837,13971,11063,215,82,354,2472,5294,1143,4750,1649,82,752,384,1508,510,1592,3239,3956,443,3921,1271,254,3467,8107,8213,6105
3702300,34844,8076,17996,8772,8432,15556,10856,43,26,183,1800,3467,353,4085,365,184,563,325,675,112,907,3175,4591,4814,4189,1091,3896,3542,8784,8982,5460
3702400,31996,7196,16048,8752,8825,13931,9240,103,50,72,2244,1883,538,4945,239,395,680,353,2105,129,1056,3393,4634,801,4473,1057,2846,3007,7942,8369,5482
3702500,47860,10290,24729,12841,11893,18864,17103,1043,21,73,2844,7611,1779,6584,754,439,870,432,1651,222,2043,4295,8056,793,5037,1537,1776,4767,11673,12204,8926
