MIGPUMA,Geo_FIPS,Geo_LOGRECNO,Geo_STATE,Geo_PUMA5,Total Population,Population Density (Per Sq. Mile),Area (Land),SE_A00003_001,SE_A00003_002,SE_A00003_003,Total Population Under 18 Years,Total Population 18 to 34 Years,Total Population 35 to 64 Years,Total Population 65 and Over,Population 25 Years and Over,Population 25 Years and Over Less than High School,Population 25 Years and Over High School Graduate (Includes Equivalency),Population 25 Years and Over Some College,Population 25 Years and Over Bachelors Degree,Population 25 Years and Over Masters Degree,Population 25 Years and Over Professional School Degree,Population 25 Years and Over Doctorate Degree,Population 3 Years and Over Enrolled in School,Population 3 Years and Over Enrolled in School Public School,Population 3 Years and Over Enrolled in School Public School Pre-School,Population 3 Years and Over Enrolled in School Public School K-8,Population 3 Years and Over Enrolled in School Public School 9-12,Population 3 Years and Over Enrolled in School Public School College,Population 3 Years and Over Enrolled in School Private School,Population 3 Years and Over Enrolled in School Private School Pre-School,Population 3 Years and Over Enrolled in School Private School K-8,Population 3 Years and Over Enrolled in School Private School 9-12,Population 3 Years and Over Enrolled in School Private School College,Population 16 Years and Over in Labor Force Civilian,Population 16 Years and Over in Labor Force Civilian Employed,Population 16 Years and Over in Labor Force Civilian Unemployed,Median Household Income (In 2019 Inflation Adjusted Dollars),Housing Units,Housing Units Occupied,Housing Units Vacant,Median Gross Rent,Total Population Native Born,Total Population Foreign Born,Total Population Foreign Born Naturalized Citizen,Total Population Foreign Born Not a Citizen
4800600,4800600,208,48,600,156859,16.02123081,9790.695975,9939.145,9790.696,148.4488,36849,30229,62455,27326,107185,18556,36707,32896,12597,4329,999,1101,34631,30297,1620,17306,7538,3833,4334,791,1090,1301,1152,73738,70248,3490,49840,71572,56749,14823,681,147434,9425,2418,7007
4800700,4800700,209,48,700,132000,210.2646445,627.7802924,633.1163,627.7803,5.336026,29685,38535,44629,19151,83093,9828,28616,26094,13759,3981,492,323,34217,31898,1406,15025,6274,9193,2319,288,335,453,1243,56930,54697,2233,43295,55998,48382,7616,775,123078,8922,3108,5814
4800800,4800800,210,48,800,205481,76.14942341,2698.392067,2776.501,2698.392,78.10873,48083,42411,78770,36217,139713,17053,42237,52984,19338,5711,1662,728,49349,43011,2043,21894,10434,8640,6338,1078,2518,364,2378,99230,95334,3896,56465,87230,76393,10837,860,190774,14707,2863,11844
4800900,4800900,211,48,900,190660,197.091008,967.3703631,1030.74,967.3704,63.36958,48994,39334,76218,26114,124656,12765,31765,38578,25057,12431,1992,2068,54894,47278,791,23177,11285,12025,7616,1546,2804,1938,1328,92146,87934,4212,73370,71756,64823,6933,1028,174341,16319,6387,9932
4801000,4801000,212,48,1000,158519,40.53966438,3910.21984,4039.654,3910.22,129.4338,39878,31415,57826,29400,105103,14858,38714,33671,13011,3842,919,88,37044,33753,1101,20113,7780,4759,3291,914,971,433,973,74898,71274,3624,46898,71654,58108,13546,697,146365,12154,4423,7731
4801100,4801100,213,48,1100,124024,68.07141282,1821.968942,1883.29,1821.969,61.32061,28993,25825,47586,21620,83753,8939,31835,24954,11847,4882,901,395,30474,28757,2284,15069,7024,4380,1717,136,366,157,1058,52814,49594,3220,48758,54394,44602,9792,655,120194,3830,1814,2016
4801200,4801200,214,48,1200,117231,62.90036624,1863.757034,1928.661,1863.757,64.90434,29105,22745,44699,20682,78999,11289,26508,26175,11563,2866,476,122,29027,25723,1415,14086,6053,4169,3304,954,1035,173,1142,50257,47188,3069,49655,51285,40496,10789,764,111690,5541,1847,3694
4801300,4801300,215,48,1300,127875,66.84272045,1913.072944,2017.389,1913.073,104.3162,28129,22257,49061,28428,89807,13638,31338,30006,10600,3124,645,456,26715,24500,1248,14563,5291,3398,2215,159,452,815,789,53008,49440,3568,51002,56902,45831,11071,766,123318,4557,1844,2713
4801400,4801400,216,48,1400,122883,157.4009245,780.7006241,807.6603,780.7006,26.95971,34350,26226,48000,14307,78533,11664,25541,23692,11133,4842,615,1046,34036,28991,1253,15359,7674,4705,5045,1320,2241,147,1337,60434,57486,2948,65841,41117,37569,3548,958,113445,9438,4409,5029
4801500,9603003,435,96,3003,227727,247.1309197,921.4832378,949.7215,921.4833,28.23827,56044,51848,82916,36919,148537,19057,31979,57738,27387,8453,2923,1000,33944,30486,964,13240,5808,10474,3458,635,2108,623,92,104884,99294,5590,54020.19984,90324,77292,13032,875.7711295,206498,21229,8369,12860
4801600,4801600,219,48,1600,123367,451.3615791,273.3218903,275.7767,273.3219,2.454849,31900,28211,43867,19389,80114,12154,22404,30669,10641,2994,821,431,30281,27736,1874,16366,5788,3708,2545,213,234,258,1840,58052,55441,2611,47095,51969,44138,7831,824,112560,10807,2267,8540
4801700,4801700,220,48,1700,128316,46.17742128,2778.760624,2821.902,2778.761,43.14103,30819,27724,47818,21955,86033,17459,24028,30975,8841,3898,433,399,30726,27789,1619,15057,7009,4104,2937,602,883,531,921,54159,50775,3384,51481,54122,45601,8521,721,118206,10110,2349,7761
4801800,4801800,221,48,1800,138805,71.68456724,1936.330306,2026.338,1936.33,90.0073,27457,28478,56151,26719,101474,19422,36538,31346,7747,4978,1123,320,27162,24964,1547,12374,5898,5145,2198,370,547,738,543,53875,51218,2657,42987,61529,49128,12401,753,131538,7267,2955,4312
4801900,33613328,1575,336,13328,969603,1152.582362,841.2440027,886.10357,841.24394,44.85949395,254918,200807,409932,103946,635534,39316,92895,173136,211777,91080,17395,9935,274862,241687,6837,121863,58631,54356,33175,10470,10651,4181,7873,528607,509466,19141,95429.28829,363573,338769,24804,1409.457393,764579,205024,94742,110282
4802000,28812021,1389,288,12021,836210,951.7803238,878.5745818,952.97736,878.57454,74.4027749,210066,201929,341956,82259,547898,39630,92964,162675,166793,66372,10524,8940,237192,212025,5684,102315,43753,60273,25167,8207,6362,3950,6648,467676,450427,17249,90246.90188,309310,293610,15700,1300.289979,705446,130764,58629,72135
4802101,4802101,235,48,2101,173620,185.5598134,935.6551768,951.7477,935.6552,16.0925,46662,38122,67077,21759,111660,15616,34047,37275,17351,6284,451,636,47088,41277,1089,22354,9945,7889,5811,715,2225,1046,1825,86892,83774,3118,72138,61233,57052,4181,971,159680,13940,7301,6639
4802102,4802102,236,48,2102,167301,230.8570791,724.695126,734.4636,724.6951,9.768504,43535,35331,65016,23419,109599,15566,37507,36250,14394,4745,493,644,28213,24217,1234,14414,4933,3636,3996,447,1470,723,1356,81032,78681,2351,62482,61997,58859,3138,935,162088,5213,3428,1785
4802200,4802200,237,48,2200,138474,52.41318103,2641.96901,2704.098,2641.969,62.12918,31303,31357,47738,28076,92238,10117,29905,29655,14605,5949,1351,656,31038,28327,909,14573,5128,7717,2711,335,856,500,1020,59285,57127,2158,58503,63945,47648,16297,810,132921,5553,1980,3573
4802300,105650853,5467,1056,50853,2618148,3004.820279,871.3160046,908.61403,871.31601,37.2979964,691940,677217,974402,274589,1676011,344775,391895,427055,327992,133575,36181,14538,696912,612888,28716,323406,139005,121761,84024,13056,25612,11734,33622,1374076,1305420,68656,57811.5528,1013049,929078,83971,1045.160381,1980599,637549,185344,452205
4802400,4802400,260,48,2400,133463,147.7215063,903.4771126,910.0944,903.4771,6.617317,32634,26218,53350,21261,90367,9509,24833,32209,16980,5384,902,550,34090,29245,973,14724,7469,6079,4845,984,2042,636,1183,63432,60723,2709,75823,50043,44244,5799,1065,127435,6028,2792,3236
4802500,76840136,4296,768,40136,2054475,2378.918101,863.6173727,902.30477,863.61735,38.68740901,545278,497815,784807,226575,1317559,195470,311382,396438,278693,104516,18647,12413,567982,493884,25742,246801,116079,105262,74098,12140,25160,9070,27728,1071609,1022448,49161,67893.50767,766978,703106,63872,1133.364916,1704189,350286,124487,225799
4802600,4802600,277,48,2600,189253,11.21624005,16873.12318,16994.07,16873.12,120.9468,42063,41240,68403,37547,130675,22802,48270,37179,16320,5102,333,669,41549,38032,2016,19999,10953,5064,3517,622,1262,456,1177,74311,71538,2773,43360,95120,67757,27363,660,179881,9372,3215,6157
4802700,4802700,278,48,2700,136290,148.8610846,915.5515717,919.3049,915.5516,3.753364,33706,39502,43426,19656,83224,10349,25415,27264,12642,5358,1241,955,35100,26265,937,15788,5832,3708,8835,765,1278,96,6696,68965,66497,2468,51894,57540,50470,7070,836,125523,10767,5180,5587
4802800,4802800,279,48,2800,102760,5.007755145,20520.17262,20575.09,20520.17,54.91269,22829,23209,39441,17281,69627,16105,23726,19398,6847,2475,912,164,0,0,0,0,0,0,0,0,0,0,0,46333,44372,1961,47178,48021,35914,12107,664,92435,10325,2282,8043
4802900,4802900,280,48,2900,118019,77.54347524,1521.972025,1540.545,1521.972,18.57343,28029,32161,39922,17907,76794,8454,24411,26019,11896,5227,397,390,29800,27583,1158,13717,6067,6641,2217,440,359,266,1152,58272,55043,3229,51114,48481,42061,6420,820,112280,5739,2652,3087
4803000,4803000,281,48,3000,165049,183.3256767,900.3048725,902.0504,900.3049,1.745471,46567,44087,57182,17213,102982,15396,29565,29457,21001,5697,1619,247,41779,35826,1704,21896,8000,4226,5953,856,2089,758,2250,82643,80321,2322,75590,61133,56745,4388,1102,140165,24884,7279,17605
4803100,4803100,282,48,3100,157087,174.9926992,897.6774502,901.7657,897.6774,4.088277,47146,43297,51554,15090,92873,23419,27069,29508,9690,2598,438,151,44033,40707,2720,22169,9375,6443,3326,587,1245,310,1184,80365,74637,5728,55380,58178,51388,6790,944,134647,22440,7564,14876
4803200,4803200,283,48,3200,119296,3.261396213,36578.19909,36605.97,36578.2,27.77289,33823,27626,41647,16200,71922,21928,23041,17471,6158,2656,547,121,28785,25773,1482,14272,7042,2977,3012,683,1961,69,299,48306,46208,2098,48163,46897,35998,10899,677,94744,24552,6906,17646
