ORIGIN,JWMNP,FINCP,GRNTP,HINCP,SMOCP,PINCP,HH_COST,PERNP,WAGP,UNEMP,EMP,type
1201500,20.0,64200.0,1100.0,58000.0,810.5,33300.0,0.17689655172413793,28000.0,25000.0,15,528,stayers
1201701,20.0,56900.0,900.0,48500.0,550.0,32000.0,0.148,30000.0,28000.0,22,319,stayers
1201900,30.0,77600.0,1195.0,73800.0,928.0,40000.0,0.16502115655853314,39350.0,39000.0,27,621,stayers
1202100,20.0,88910.0,1230.0,84400.0,1312.0,40000.0,0.1774193548387097,37100.0,35000.0,44,1129,stayers
1202300,25.0,62150.0,830.0,55200.0,570.0,33000.0,0.13525032092426187,31500.0,30000.0,52,695,stayers
1202790,15.0,55000.0,790.0,49800.0,474.0,30000.0,0.13046153846153846,28000.0,26000.0,48,722,stayers
1203100,20.0,75600.0,1080.0,67900.0,1021.0,37550.0,0.18685714285714286,35000.0,35000.0,185,3549,stayers
1203300,20.0,76000.0,996.0,65000.0,864.0,36000.0,0.16227903897086643,34000.0,32000.0,53,1146,stayers
1203590,20.0,71000.0,1080.0,62800.0,897.0,36000.0,0.1783315941042373,32850.0,31200.0,79,2403,stayers
1205301,20.0,56700.0,990.0,52300.0,653.0,32950.0,0.15714285714285714,30000.0,30000.0,28,634,stayers
1205700,25.0,80600.0,1141.5,73000.0,1120.0,40000.0,0.18276923076923077,38000.0,36900.0,268,5855,stayers
1206100,15.0,80500.0,950.0,68400.0,865.0,38750.0,0.1607142857142857,33750.0,32000.0,13,357,stayers
1206300,25.0,63300.0,706.0,57000.0,586.0,33800.0,0.14254618397776092,32000.0,30200.0,35,772,stayers
1206900,25.0,68380.0,993.0,61000.0,707.0,35000.0,0.1594909090909091,32000.0,30000.0,59,1275,stayers
1207100,25.0,73500.0,1200.0,67800.0,994.0,38000.0,0.18157815781578157,35000.0,32300.0,121,2603,stayers
1207300,20.0,85020.0,980.0,75000.0,994.0,40000.0,0.17266666666666666,37000.0,35000.0,55,1139,stayers
1208100,20.0,75000.0,1243.0,70000.0,1012.0,36000.0,0.1827982279500604,34000.0,32000.0,47,1322,stayers
1208300,20.0,55100.0,890.0,50300.0,654.0,30150.0,0.16404761904761905,28000.0,27000.0,74,834,stayers
1208500,20.0,90000.0,1203.5,80000.0,1066.0,45000.0,0.16585714285714287,43000.0,40000.0,12,526,stayers
1208690,30.0,70800.0,1400.0,68700.0,1332.0,33300.0,0.2352,31700.0,30000.0,474,10851,stayers
1208900,28.0,85000.0,970.0,78100.0,1020.0,41000.0,0.1482116991643454,40000.0,38000.0,9,392,stayers
1209100,15.0,86300.0,1251.0,77000.0,1082.0,40000.0,0.18504672897196262,36000.0,35000.0,25,828,stayers
1209500,25.0,76200.0,1242.0,71800.0,1228.0,36600.0,0.1984825493171472,35000.0,33000.0,172,4671,stayers
1209700,30.0,68500.0,1306.0,67000.0,1083.0,32400.0,0.2004221635883905,30000.0,30000.0,38,949,stayers
1209900,20.0,88300.0,1370.0,78000.0,1303.0,42000.0,0.19905454545454543,40000.0,36400.0,244,5724,stayers
1210100,30.0,70000.0,1050.0,62300.0,833.0,38850.0,0.17018181818181818,35000.0,34000.0,111,2177,stayers
1210300,20.0,79000.0,1140.0,68000.0,1039.0,40000.0,0.19104,38000.0,36000.0,170,4283,stayers
1210500,20.0,65000.0,985.5,61000.0,821.0,35000.0,0.16618907054193158,33000.0,31550.0,103,2523,stayers
1210790,25.0,87900.0,989.0,78000.0,1067.0,45000.0,0.16568181818181818,41200.0,40000.0,43,997,stayers
