Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,TOT_POP,HH_MED_INC,HH_OCC,HU_OWN,HU_RENT,HH_MED_RENT,SE_T106_001,HU_OWN_M,SE_T106_003,SE_T106_004,SE_T106_005,SE_T106_006,SE_T106_007,SE_T106_008,SE_T106_009,SE_T106_010,SE_T106_011,SE_T106_012,SE_T106_013,SE_T106_014,HU_OWN_NOM,SE_T106_016,SE_T106_017,SE_T106_018,SE_T106_019,SE_T106_020,SE_T106_021,SE_T106_022,SE_T106_023,SE_T178_001,SE_T178_002,HH_OWN_M,HH_OWN_NOM
6059086901,Census Tract 869.01,"Census Tract 869.01, Orange County, California",0,6,59,86901,5857.999953,48406.9493,2317.999981,457.9999963,1859.999985,936.8654603,379.9999969,348.9999972,0,0,36.9999997,51.99999958,42.99999965,24.9999998,18.99999985,19.99999984,33.99999973,21.99999982,37.99999969,58.99999953,30.99999975,3.999999968,0,0,4.99999996,16.99999986,4.99999996,0,0,395,134,1149.45,389.94
6059086902,Census Tract 869.02,"Census Tract 869.02, Orange County, California",0,6,59,86902,3725.507143,63499.57343,1321.203263,807.0700689,514.1331938,960.1416208,489.0631258,459.0582125,0,8.000640875,13.00875851,74.0079041,67.00747685,74.00363166,28.00512696,20.00395203,17.00512694,82.00758368,32.00459291,44.003418,30.00491334,0,6.00149536,5.00160217,6.001174927,7.000000009,6.000640873,0,0,345,116,1003.95,337.56
6059086903,Census Tract 869.03,"Census Tract 869.03, Orange County, California",0,6,59,86903,4747.492937,63131.06643,1902.796769,655.9299424,1246.866827,1091.070024,590.9368841,544.9417967,0,5.999359229,81.9912428,73.99209716,69.99252434,33.99636897,47.99487384,36.99604858,47.99487384,70.99241755,42.99540781,31.99658256,45.99508743,0,13.99850487,14.99839807,10.99882525,0,5.999359229,0,0,357,89,1038.87,258.99
6059087001,Census Tract 870.01,"Census Tract 870.01, Orange County, California",0,6,59,87001,3543.000011,71364.28846,1205.000004,703.0000021,502.0000015,1027.060582,596.0000018,562.0000017,0,13.00000004,63.00000019,53.00000016,25.00000007,85.00000025,48.00000014,37.00000011,41.00000012,95.00000028,54.00000016,48.00000014,34.0000001,0,0,12.00000004,13.00000004,5.000000015,4.000000012,0,0,393,109,1143.63,317.19
6059087002,Census Tract 870.02,"Census Tract 870.02, Orange County, California",0,6,59,87002,4526.000042,61207.71853,1821.000017,887.0000083,934.0000087,928.1369001,763.0000071,718.0000067,0,27.00000025,116.0000011,114.0000011,55.00000051,67.00000062,59.00000055,47.00000044,20.00000019,70.00000065,88.00000082,55.00000051,45.00000042,0,6.000000056,23.00000021,10.00000009,0,6.000000056,0,0,334,92,971.94,267.72
6059087101,Census Tract 871.01,"Census Tract 871.01, Orange County, California",0,6,59,87101,2737.999922,62807.81469,1409.99996,294.9999916,1114.999968,1029.970102,274.9999922,235.9999933,10.99999969,0,20.9999994,31.99999909,34.999999,5.999999829,23.99999932,21.99999937,17.99999949,11.99999966,17.99999949,36.99999895,38.99999889,0,7.999999772,5.999999829,11.99999966,0,6.999999801,5.999999829,0,377,111,1097.07,323.01
6059087102,Census Tract 871.02,"Census Tract 871.02, Orange County, California",0,6,59,87102,3916.341583,56223.17657,1443.528596,227.8503685,1215.678227,1073.612903,202.6542055,137.3619625,0.024019956,0.176146342,33.25621292,18.32026611,13.07205989,19.10808983,0.108089801,7.196162984,12.13210978,7.332276066,5.380315974,21.2562129,65.29224291,0,14.04403661,27.17214306,6.048039922,12.0280233,6.00000001,0,0,310,91,902.1,264.81
6059087103,Census Tract 871.03,"Census Tract 871.03, Orange County, California",0,6,59,87103,5972.999951,71664.91259,2101.999983,1351.999989,749.9999938,939.7749803,1267.99999,1115.999991,0,17.99999985,177.9999985,191.9999984,129.9999989,70.99999941,49.99999959,68.99999943,69.99999942,108.9999991,155.9999987,72.9999994,151.9999987,0,29.99999975,77.99999936,30.99999974,6.999999942,5.99999995,0,0,328,89,954.48,258.99
6059087105,Census Tract 871.05,"Census Tract 871.05, Orange County, California",0,6,59,87105,4571.553326,60263.82343,1538.635226,810.7348815,727.9003441,887.4036192,750.0765195,699.8540047,3.91344271,15.65377084,114.1420791,105.6629532,56.09267885,50.22251478,30.00306078,52.83147659,20.219454,59.35388111,113.4898386,78.26885421,50.22251478,0,4.565683162,15.65377084,22.17617536,3.91344271,3.91344271,0,0,357,105,1038.87,305.55
6059087106,Census Tract 871.06,"Census Tract 871.06, Orange County, California",0,6,59,87106,2437.446865,60263.82343,820.3648387,432.2651524,388.0996863,887.4036192,399.9235119,373.1460246,2.086557453,8.346229813,60.85792572,56.33705124,29.9073235,26.77748732,15.99694048,28.16852562,10.78054684,31.64612138,60.51016615,41.73114907,26.77748732,0,2.434317029,8.346229813,11.82382557,2.086557453,2.086557453,0,0,357,105,1038.87,305.55
6059087200,Census Tract 872,"Census Tract 872, Orange County, California",0,6,59,87200,4380.999993,56882.61014,1857.999997,1009.999998,847.9999985,829.2132179,861.9999985,531.9999991,0,0,41.99999993,60.9999999,81.99999986,50.99999991,57.9999999,40.99999993,45.99999992,38.99999993,33.99999994,77.99999987,329.9999994,23.99999996,68.99999988,62.99999989,74.99999987,39.99999993,58.9999999,0,0,375,103,1091.25,299.73
6059087300,Census Tract 873,"Census Tract 873, Orange County, California",0,6,59,87300,5941.000025,37552.15559,1959.000008,380.0000016,1579.000007,733.1990559,316.0000013,164.0000007,0,6.000000025,0,32.00000013,35.00000015,6.000000025,6.000000025,0,13.00000005,40.00000017,14.00000006,12.00000005,152.0000006,33.00000014,48.0000002,32.00000013,19.00000008,20.00000008,0,0,0,375,72,1091.25,209.52
