puma,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
4802306,20411,5374,10475,4562,5834,8003,6574,23,20,0,1333,423,906,4099,539,599,561,652,777,96,1547,491,3588,754,3073,928,2,3112,3961,4644,3320
4802307,53352,12996,29520,10836,13128,16899,23325,18,338,11,1148,473,923,7209,406,1016,2755,2063,7322,605,5292,1658,14786,1127,4631,1565,6,6141,9457,12831,11927
4802308,25216,6585,12980,5651,7400,9891,7925,1,18,239,1953,1714,356,4496,157,349,480,350,717,138,3186,747,3875,858,3348,813,1421,3869,4939,5718,4105
4802309,129881,26154,75377,28350,20713,33890,75278,55,175,52,4090,13238,5614,8160,557,6102,15434,2925,16342,3987,13011,9371,16603,1240,8762,2587,1576,13389,21241,31486,37611
4802310,190198,43302,110718,36178,32718,52129,105351,47,486,122,5562,9774,15495,14260,3366,5522,20835,6015,34653,2506,32440,1636,14349,2434,14405,4094,2197,20250,32123,45093,49430
4802311,62795,19090,31865,11840,17512,20802,24481,80,235,236,1485,1224,3099,17070,4550,850,2388,1770,3693,737,7287,1690,7796,450,5507,2516,132,7833,10651,13481,11740
4802312,216071,44535,123722,47814,30654,60260,125157,96,877,304,9820,15628,15029,14506,14880,2534,10353,6965,14851,8854,22084,22311,30536,2759,15287,7167,1230,27207,40355,53700,50274
4802313,267892,55379,155697,56816,38106,61602,168184,151,2001,4029,9166,2444,4502,10118,5630,11930,27122,10106,41143,2142,15210,35200,26876,6042,26362,6977,20741,28138,46546,65670,72159
4802314,22680,3826,12725,6129,4368,6513,11799,41,2,210,1330,1738,1327,2359,547,718,255,223,627,249,593,1023,6716,930,1905,406,1481,2863,4146,5901,5944
4802315,48313,11243,26066,11004,9462,19491,19360,17,97,0,2092,4112,4059,5947,9257,1921,1172,946,975,635,4652,704,6921,181,3725,850,50,8842,10044,11192,6992
4802316,14479,4423,7180,2876,4955,5769,3755,0,7,0,182,615,538,3598,371,198,876,279,539,45,691,1356,2431,89,2182,482,0,2359,2813,3023,1861
4802317,33317,7930,18376,7011,8549,11878,12890,3,0,78,1712,1566,2317,5815,3508,580,530,517,304,87,876,3691,7133,177,3227,575,621,4911,7215,8561,4700
4802318,25911,7414,13113,5384,8143,9876,7892,7,1,17,1362,1621,389,5692,1293,140,496,323,539,259,618,3246,4506,387,3823,619,573,3875,5085,5807,3730
4802319,41384,9270,22647,9467,7641,13646,20097,1,2,87,1025,13627,3586,4013,3380,144,534,450,770,83,889,7019,2013,48,2772,937,4,7162,8745,9552,6655
4802320,32853,6971,18307,7575,6198,10318,16337,33,4,336,4989,2025,2607,3560,3593,177,463,610,577,0,2474,5061,1418,880,2169,592,1285,5631,7203,7916,5132
4802321,180713,39753,106095,34865,28837,49674,102202,60,1847,330,13762,8351,15236,12404,11540,8434,20137,3600,23552,6126,26124,2345,6962,789,14554,4239,321,23163,32468,41644,43685
